game_id,platform_id
1,15
1,16
1,21
1,29
2,15
3,8
3,15
3,21
3,29
3,32
4,14
4,15
4,21
4,29
4,32
5,14
5,15
5,21
5,22
5,29
5,30
6,14
6,15
6,21
6,22
6,29
6,30
7,8
7,15
7,32
8,15
8,21
8,29
9,14
9,15
9,21
9,29
10,8
10,14
10,15
10,21
10,29
10,31
10,32
11,1
11,8
11,15
11,31
11,32
12,15
13,15
13,21
13,29
14,1
14,8
14,15
14,21
14,31
14,32
15,14
15,15
15,21
15,32
16,15
17,8
17,15
17,32
18,15
19,15
19,28
19,29
20,15
20,28
20,29
21,15
21,20
21,28
21,29
22,15
23,1
23,14
23,15
23,21
23,29
23,31
24,15
24,20
24,28
24,29
25,15
25,20
25,28
26,8
26,15
26,32
27,8
27,15
27,32
28,8
28,15
28,32
29,1
29,14
29,15
29,21
29,22
29,29
29,31
30,1
30,8
30,15
30,20
30,28
30,31
30,32
31,8
31,15
31,32
32,8
32,15
33,14
33,15
33,21
33,29
33,32
34,15
35,15
36,15
37,15
38,15
38,20
38,28
38,29
39,15
39,32
40,15
40,20
40,21
40,28
40,29
40,32
41,14
41,15
41,21
41,29
42,15
42,21
42,29
43,15
43,20
43,21
43,28
43,29
44,15
44,21
44,29
45,15
45,21
45,29
46,15
46,21
46,22
46,29
46,30
47,15
48,15
48,20
48,21
48,28
48,29
48,32
49,15
49,20
49,21
49,26
49,28
49,29
50,14
50,15
50,20
50,21
50,26
50,28
50,29
51,14
51,15
51,20
51,21
51,28
51,29
52,15
52,21
52,29
53,14
53,15
53,21
53,29
54,15
55,8
55,15
55,20
55,28
55,32
56,8
56,15
56,25
56,32
57,15
57,21
57,22
57,29
57,30
58,15
58,20
58,21
58,25
58,28
58,31
58,32
59,8
59,14
59,15
59,21
59,29
59,31
59,32
60,15
60,22
60,30
60,32
61,1
61,8
61,14
61,15
61,21
61,29
61,31
61,32
62,15
63,8
63,14
63,15
63,16
63,21
63,28
63,29
63,31
63,32
64,14
64,15
64,20
64,21
64,28
64,29
64,32
65,15
65,20
65,21
65,28
66,14
66,15
66,20
66,21
66,28
66,29
66,32
67,15
67,20
67,21
67,28
67,29
67,32
68,14
68,15
68,21
68,29
69,1
69,15
69,20
69,28
70,8
